Resultado Sudoku fácil:
IPSO:
Execução 01 | Seed: 00 | Fitness: 15 | Iterações: 6665 | Avaliações: 399960 | Tempo: 183.06s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.72s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 177.44s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.55s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 14 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.84s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.63s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 178.53s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.63s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 16 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.37s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 10 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.67s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 14 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.12s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 16 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.13s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.18s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 178.03s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 12 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.64s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.19s | Solucionado: False
Execução 17 | Seed: 16 | Fitness: 16 | Iterações: 6665 | Avaliações: 399960 | Tempo: 183.10s | Solucionado: False
Execução 18 | Seed: 17 | Fitness: 14 | Iterações: 6665 | Avaliações: 399960 | Tempo: 181.06s | Solucionado: False
Execução 19 | Seed: 18 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.80s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.03s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 178.58s | Solucionado: False
Execução 22 | Seed: 21 | Fitness: 12 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.27s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 14 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.29s | Solucionado: False
Execução 24 | Seed: 23 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.99s | Solucionado: False
Execução 25 | Seed: 24 | Fitness: 4 | Iterações: 6665 | Avaliações: 399960 | Tempo: 178.71s | Solucionado: False
Execução 26 | Seed: 25 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.73s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 178.18s | Solucionado: False
Execução 28 | Seed: 27 | Fitness: 15 | Iterações: 6665 | Avaliações: 399960 | Tempo: 179.40s | Solucionado: False
Execução 29 | Seed: 28 | Fitness: 16 | Iterações: 6665 | Avaliações: 399960 | Tempo: 184.28s | Solucionado: False
Execução 30 | Seed: 29 | Fitness: 10 | Iterações: 6665 | Avaliações: 399960 | Tempo: 180.10s | Solucionado: False

ACO:
Execução 01 | Seed: 00 | Fitness: 0 | Iterações: 41 | Avaliações: 2460 | Tempo: 18.72s | Solucionado: True
Execução 02 | Seed: 01 | Fitness: 0 | Iterações: 243 | Avaliações: 14580 | Tempo: 106.27s | Solucionado: True
Execução 03 | Seed: 02 | Fitness: 0 | Iterações: 103 | Avaliações: 6180 | Tempo: 44.03s | Solucionado: True
