Resultado Sudoku Dificil:
IPSO
Execução 01 | Seed: 00 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.13s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.20s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.56s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.57s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 100.91s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 21 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.15s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 100.84s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 100.23s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 23 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.15s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.15s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 10 | Iterações: 6665 | Avaliações: 399960 | Tempo: 102.38s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 24 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.52s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 101.63s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 15 | Iterações: 6665 | Avaliações: 399960 | Tempo: 102.75s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.95s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 19 | Iterações: 6665 | Avaliações: 399960 | Tempo: 104.20s | Solucionado: False
Execução 17 | Seed: 16 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.90s | Solucionado: False
Execução 18 | Seed: 17 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 104.56s | Solucionado: False
Execução 19 | Seed: 18 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.00s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.20s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.40s | Solucionado: False
