Resultado Sudoku Médio:
IPSO
Execução 01 | Seed: 00 | Fitness: 20 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.03s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.62s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 21 | Iterações: 6665 | Avaliações: 399960 | Tempo: 102.24s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 21 | Iterações: 6665 | Avaliações: 399960 | Tempo: 102.08s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 19 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.01s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 19 | Iterações: 6665 | Avaliações: 399960 | Tempo: 102.30s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 108.32s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 103.65s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 110.58s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 18 | Iterações: 6665 | Avaliações: 399960 | Tempo: 109.14s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 22 | Iterações: 6665 | Avaliações: 399960 | Tempo: 107.49s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 16 | Iterações: 6665 | Avaliações: 399960 | Tempo: 107.05s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 15 | Iterações: 6665 | Avaliações: 399960 | Tempo: 108.60s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 13 | Iterações: 6665 | Avaliações: 399960 | Tempo: 106.13s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 15 | Iterações: 6665 | Avaliações: 399960 | Tempo: 106.01s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 17 | Iterações: 6665 | Avaliações: 399960 | Tempo: 108.18s | Solucionado: False
